Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
70.0,2.0,7.0,0.0,0.0,10528.0,0.0,0.0,21,107.0,60.0,03,003,M03.01,0300300012271014,bajo,Alto,Alto,La Paz
135.0,2.0,3.0,2.0,1.0,6049.0,2299.0,0.0,72,0.0,1.0,03,003,M03.01,0300300011979020,bajo,Alto,Alto,La Paz
75.0,3.0,5.0,3.0,1.0,14763.0,0.0,0.0,29,100.0,91.0,03,003,M03.01,0300300012159035,muy bajo,Muy Alto,Muy Alto,La Paz
116.0,2.0,5.0,0.0,1.0,12078.0,0.0,0.0,23,107.0,60.0,03,003,M03.01,0300300012271017,bajo,Alto,Alto,La Paz
60.0,2.0,5.0,0.0,0.0,9944.0,0.0,0.0,21,107.0,60.0,03,003,M03.01,0300300012271034,bajo,Alto,Alto,La Paz
83.0,3.0,6.0,2.0,1.0,14407.0,0.0,0.0,19,109.0,74.0,03,003,M03.01,0300300012159016,muy bajo,Muy Alto,Muy Alto,La Paz
83.0,3.0,6.0,2.0,1.0,14407.0,0.0,0.0,11,109.0,74.0,03,003,M03.01,0300300012159015,muy bajo,Muy Alto,Muy Alto,La Paz
95.0,2.0,6.0,4.0,2.0,14623.0,0.0,0.0,14,109.0,78.0,03,003,M03.01,0300300012159004,muy bajo,Muy Alto,Muy Alto,La Paz
93.0,3.0,6.0,3.0,1.0,14837.0,0.0,0.0,40,100.0,91.0,03,003,M03.01,0300300012159032,muy bajo,Muy Alto,Muy Alto,La Paz
97.0,3.0,4.0,0.0,1.0,15525.0,0.0,0.0,78,109.0,74.0,03,003,M03.01,0300300012159031,muy bajo,Muy Alto,Muy Alto,La Paz
136.0,2.0,3.0,2.0,1.0,6159.0,1081.0,0.0,66,0.0,20.0,03,003,M03.01,0300300011979035,bajo,Alto,Alto,La Paz
81.0,2.0,6.0,4.0,1.0,14185.0,0.0,0.0,43,100.0,91.0,03,003,M03.01,0300300012159006,muy bajo,Muy Alto,Muy Alto,La Paz
103.0,2.0,6.0,0.0,1.0,13407.0,0.0,0.0,48,107.0,60.0,03,003,M03.01,0300300012271003,bajo,Alto,Alto,La Paz
134.0,0.0,3.0,3.0,2.0,8957.0,1081.0,0.0,58,0.0,24.0,03,003,M03.01,0300300012021006,bajo,Alto,Alto,La Paz
133.0,2.0,4.0,2.0,2.0,6970.0,1081.0,0.0,86,0.0,20.0,03,003,M03.01,0300300012021020,bajo,Alto,Alto,La Paz
133.0,2.0,4.0,2.0,2.0,6970.0,1081.0,0.0,80,0.0,20.0,03,003,M03.01,0300300011979026,bajo,Alto,Alto,La Paz
133.0,2.0,4.0,2.0,2.0,6970.0,1081.0,0.0,92,0.0,20.0,03,003,M03.01,0300300011979017,bajo,Alto,Alto,La Paz
136.0,2.0,3.0,2.0,1.0,6159.0,1081.0,0.0,63,0.0,20.0,03,003,M03.01,0300300011979028,bajo,Alto,Alto,La Paz
129.0,2.0,3.0,1.0,1.0,6503.0,2299.0,0.0,84,0.0,5.0,03,003,M03.01,0300300011979006,bajo,Alto,Alto,La Paz
